county,precinct,office,district,party,candidate,votes,early_voting,election_day
Fisher,4,Railroad Commissioner,,REP,Ron Hale,20,7,13
Fisher,4,Railroad Commissioner,,REP,Lance N Christian,17,5,12
Fisher,4,Railroad Commissioner,,REP,John Greytok,5,0,5
Fisher,4,Railroad Commissioner,,REP,Wayne Christian,23,10,13
Fisher,4,"Justice, Supreme Court Pl 3",,REP,Michael Massengale,73,26,47
Fisher,4,"Justice, Supreme Court Pl 3",,REP,Debra Lehrmann,47,15,32
Fisher,4,"Justice, Supreme Court Pl 5",,REP,Paul Green,58,23,35
Fisher,4,"Justice, Supreme Court Pl 5",,REP,Rick Green,61,17,44
Fisher,4,"Justice, Supreme Court Pl 9",,REP,Eva Guzman,53,20,33
Fisher,4,"Justice, Supreme Court Pl 9",,REP,Joe Pool,67,20,47
Fisher,4,"Judge, Court of Criminal Appeals, Pl 2",,REP,y Wheless,37,11,26
Fisher,4,"Judge, Court of Criminal Appeals, Pl 2",,REP,Chris Oldner,37,14,23
Fisher,4,"Judge, Court of Criminal Appeals, Pl 2",,REP,Mary Lou Keel,40,13,27
Fisher,4,"Judge, Court of Criminal Appeals, Pl 5",,REP,Scott Walker,61,16,45
Fisher,4,"Judge, Court of Criminal Appeals, Pl 5",,REP,Sid Harle,14,3,11
Fisher,4,"Judge, Court of Criminal Appeals, Pl 5",,REP,Steve Smith,24,12,12
Fisher,4,"Judge, Court of Criminal Appeals, Pl 5",,REP,Brent Webster,19,7,12
Fisher,4,"Judge, Court of Criminal Appeals, Pl 6",,REP,Michael E Keasler,59,21,38
Fisher,4,"Judge, Court of Crimianl Appeals, Pl 6",,REP,Richard Davis,50,14,36
Fisher,4,State Senator,28,REP,Charles Perry,114,39,75
Fisher,4,State Representative,68,REP,Drew Springer,114,37,77
Fisher,4,11th Court of Appeals Dist Pl 3,,REP,John Bailey,108,37,71
Fisher,4,Prop 1,,REP,Yes,119,34,85
Fisher,4,Prop 1,,REP,No,28,17,11
Fisher,4,Prop 2,,REP,Yes,75,26,49
Fisher,4,Prop 2,,REP,No,73,25,48
Fisher,4,Prop 3,,REP,Yes,132,51,81
Fisher,4,Prop 3,,REP,No,15,0,15
Fisher,4,Prop 4,,REP,Yes,141,47,94
Fisher,4,Prop 4,,REP,No,2,0,2
Fisher,10,President,,REP,Mike Huckabee,0,0,0
Fisher,10,President,,REP,Jeb Bush,1,1,0
Fisher,10,President,,REP,Marco Rubio,19,3,16
Fisher,10,President,,REP,Ted Cruz,61,15,46
Fisher,10,President,,REP,Chris Christie,0,0,0
Fisher,10,President,,REP,Rick Santorum,0,0,0
Fisher,10,President,,REP,Carly Fiorina,0,0,0
Fisher,10,President,,REP,Rand Paul,0,0,0
Fisher,10,President,,REP,Ben Carson,6,1,5
Fisher,10,President,,REP,Lindsey Graham,0,0,0
Fisher,10,President,,REP,John R Kasich,2,1,1
Fisher,10,President,,REP,Donald J Trump,22,3,19
Fisher,10,President,,REP,Elizabeth Gray,0,0,0
Fisher,10,President,,REP,Uncommitted,3,1,2
Fisher,10,U.S. House,19,REP,Donald R May,8,2,6
Fisher,10,U.S. House,19,REP,Greg Garrett,9,2,7
Fisher,10,U.S. House,19,REP,Jodey Arrington,47,6,41
Fisher,10,U.S. House,19,REP,Michael Bob Starr,22,5,17
Fisher,10,U.S. House,19,REP,DeRenda Warren,3,0,3
Fisher,10,U.S. House,19,REP,John C Key,3,1,2
Fisher,10,U.S. House,19,REP,Glen Robertson,14,9,5
Fisher,10,U.S. House,19,REP,Jason Corley,1,0,1
Fisher,10,U.S. House,19,REP,Don Parrish,1,0,1
Fisher,10,Railroad Commissioner,,REP,Weston Martinez,8,1,7
Fisher,10,Railroad Commissioner,,REP,Doug Jeffrey,13,0,13
Fisher,10,Railroad Commissioner,,REP,Gary Gates,12,4,8
Fisher,10,Railroad Commissioner,,REP,Ron Hale,31,12,19
Fisher,10,Railroad Commissioner,,REP,Lance N Christian,9,2,7
Fisher,10,Railroad Commissioner,,REP,John Greytok,1,0,1
Fisher,10,Railroad Commissioner,,REP,Wayne Christian,10,2,8
Fisher,10,"Justice, Supreme Court Pl 3",,REP,Michael Massengale,46,14,32
Fisher,10,"Justice, Supreme Court Pl 3",,REP,Debra Lehrmann,39,7,32
Fisher,10,"Justice, Supreme Court Pl 5",,REP,Paul Green,44,13,31
