county,precinct,office,district,party,candidate,votes,early_voting,election_day
Medina,1C,"Justice, Supreme Court Place 9",,REP,Eva Guzman,283,97,186
Medina,1C,"Justice, Supreme Court Place 9",,DEM,Savannah Robinson,150,42,108
Medina,1C,"Judge, Court of Criminal Appeals Place 2",,REP,Ray Wheless,171,57,114
Medina,1C,"Judge, Court of Criminal Appeals Place 2",,REP,Mary Lou Keel,224,73,151
Medina,1C,"Judge, Court of Criminal Appeals Place 2",,REP,Chris Oldner,115,42,73
Medina,1C,"Judge, Court of Criminal Appeals Place 2",,DEM,"Lawerence ""Larry"" Meyers",147,41,106
Medina,1C,"Judge, Court of Criminal Appeals Place 5",,REP,Scott Walker,230,78,152
Medina,1C,"Judge, Court of Criminal Appeals Place 5",,REP,Brent Webster,64,24,40
Medina,1C,"Judge, Court of Criminal Appeals Place 5",,REP,Steve Smith,89,34,55
Medina,1C,"Judge, Court of Criminal Appeals Place 5",,REP,Sid Harle,160,48,112
Medina,1C,"Judge, Court of Criminal Appeals Place 5",,DEM,Betsy Johnson,148,41,107
Medina,1C,"Judge, Court of Criminal Appeals Place 6",,REP,Richard Davis,261,89,172
Medina,1C,"Judge, Court of Criminal Appeals Place 6",,REP,Michael E. Keasler,258,90,168
Medina,1C,"Judge, Court of Criminal Appeals Place 6",,DEM,Robert Burns,148,40,108
Medina,1C,"Member, State Board of Education Dis. 1",,DEM,Georgina Perez,91,25,66
Medina,1C,"Member, State Board of Education Dis. 1",,DEM,Lynn Oliver,47,17,30
Medina,1C,"Member, State Board of Education Dis. 1",,DEM,"Joe Fierro, Jr.",19,3,16
Medina,1C,State Senator,19,REP,Peter P. Flores,500,171,329
Medina,1C,State Senator,19,DEM,Helen Madia,69,23,46
Medina,1C,State Senator,19,DEM,Carlos I. Uresti ,99,26,73
Medina,1C,State Representative,53,REP,Andrew Murr,516,179,337
Medina,1C,State Representative,53,DEM,Stephanie Lochte Ertel,153,43,110
Medina,1C,Justice 4th Court of Appeals District Place 6,,REP,Jason Pulliam,497,171,326
Medina,1C,Justice 4th Court of Appeals District Place 6,,DEM,Irene Rios,156,45,111
Medina,1C,PROPOSITION 1,,REP,FOR,492,164,328
Medina,1C,PROPOSITION 1,,REP,AGAINST,163,56,107
Medina,1C,PROPOSITION 2,,REP,FOR,450,144,306
Medina,1C,PROPOSITION 2,,REP,AGAINST,213,82,131
Medina,1C,PROPOSITION 3,,REP,FOR,552,195,357
Medina,1C,PROPOSITION 3,,REP,AGAINST,98,25,73
Medina,1C,PROPOSITION 4,,REP,FOR,629,214,415
Medina,1C,PROPOSITION 4,,REP,AGAINST,34,9,25
Medina,1C,REFERENDA ITEM 1,,DEM,FOR,163,46,117
Medina,1C,REFERENDA ITEM 1,,DEM,AGAINST,13,3,10
Medina,1C,REFERENDA ITEM 2,,DEM,FOR,164,44,120
Medina,1C,REFERENDA ITEM 2,,DEM,AGAINST,11,5,6
Medina,1C,REFERENDA ITEM 3,,DEM,FOR,171,46,125
Medina,1C,REFERENDA ITEM 3,,DEM,AGAINST,6,4,2
Medina,1C,REFERENDA ITEM 4,,DEM,FOR,152,45,107
Medina,1C,REFERENDA ITEM 4,,DEM,AGAINST,20,5,15
Medina,1C,REFERENDA ITEM 5,,DEM,FOR,138,41,97
Medina,1C,REFERENDA ITEM 5,,DEM,AGAINST,38,9,29
Medina,1C,REFERENDA ITEM 6,,DEM,FOR,167,47,120
Medina,1C,REFERENDA ITEM 6,,DEM,AGAINST,7,3,4
Medina,1D,Registered Voters - Total,,,,2505,,
Medina,1D,President,,REP,Carly Fiorina,1,1,0
Medina,1D,President,,REP,Rick Santorum,0,0,0
Medina,1D,President,,REP,Marco Rubio,97,56,41
Medina,1D,President,,REP,Rand Paul,3,1,2
Medina,1D,President,,REP,Mike Huckabee,1,1,0
Medina,1D,President,,REP,Elizabeth Gray,1,1,0
Medina,1D,President,,REP,Chris Christie,0,0,0
Medina,1D,President,,REP,Jeb Bush,13,12,1
Medina,1D,President,,REP,Ted Cruz,347,217,130
Medina,1D,President,,REP,Lindsey Graham,0,0,0
Medina,1D,President,,REP,Ben Carson,48,34,14
Medina,1D,President,,REP,Donald J. Trump,243,128,115
Medina,1D,President,,REP,John R. Kasich,13,10,3
Medina,1D,President,,REP,Uncommitted,25,18,7
Medina,1D,President,,DEM,Willie L. Wilson,4,1,3
Medina,1D,President,,DEM,Star Locke,0,0,0
Medina,1D,President,,DEM,Hillary Clinton,95,42,53
Medina,1D,President,,DEM,Keith Judd,0,0,0
Medina,1D,President,,DEM,"Roque ""Rocky"" De La Fuente",1,1,0
Medina,1D,President,,DEM,Martin J. O'Malley,0,0,0
Medina,1D,President,,DEM,Calvis L. Hawes,0,0,0
Medina,1D,President,,DEM,Bernie Sanders,47,27,20
Medina,1D,U.S. House,23,REP,"William ""Hart"" Peterson",97,51,46
Medina,1D,U.S. House,23,REP,Will Hurd,647,410,237
Medina,1D,U.S. House,23,DEM,Lee Keenen,26,9,17
Medina,1D,U.S. House,23,DEM,Pete P. Gallego,115,62,53
Medina,1D,Railroad Commissioner,,REP,Gary Gates,217,138,79
